field_source_collection,field_source_collection_id,field_source_repository,field_source_citation,field_related_title_part_of,Status,mods_relatedItem_host_titleInfo_title_ms,mods_relatedItem_host_originInfo_dateCreated_ms,mods_relatedItem_host_identifier_ms,mods_relatedItem_host_identifier_local-asc_ms,mods_relatedItem_host_note_prefercite_ms,mods_relatedItem_note_prefercite_ms
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.10,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.10, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series X. Re-election Campaign for Governor",1982,AIS.1998.30.10,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives Service Center\, University of Pittsburgh"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.13,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.13, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series XIII. Attorney General of the United States",1988-1991,AIS.1998.30.13,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives Service Center\, University of Pittsburgh"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.14,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.14, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series XIV. Campaign for United States Senate",1991,AIS.1998.30.14,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives Service Center\, University of Pittsburgh"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.07,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.07, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series VII. U.S. Attorney for Western Pennsylvania",1969-1975,AIS.1998.30.07,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives Service Center\, University of Pittsburgh"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.08,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.08, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series VIII. Assistant Attorney General\, Criminal Division",1975-1977,AIS.1998.30.08,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives Service Center\, University of Pittsburgh"
"William F. Knox Papers, 1829-1863",DAR.1949.02,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","William F. Knox Papers, 1829-1863, DAR.1949.02, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,William F. Knox Papers,1827-1915,DAR.1949.02,,,"William F. Knox Papers\, 1829-1863\, DAR.1949.02\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"American Left Ephemera Collection, 1875-2015",AIS.2007.11,"Archives & Special Collections, University of Pittsburgh Library System","American Left Ephemera Collection, 1875-2015, AIS.2007.11, Archives & Special Collections, University of Pittsburgh Library System",,,American Left Ephemera Collection,1875-2015,AIS.2007.11,,,"American Left Ephemera Collection\, 1894-2008\, AIS.2007.11\, Archives Service Center\, University of Pittsburgh Library System"
"Harold J. Ruttenberg Papers, 1934-1998",AIS.1999.04,"Archives & Special Collections, University of Pittsburgh Library System","Harold J. Ruttenberg Papers, 1934-1998, AIS.1999.04, Archives & Special Collections, University of Pittsburgh Library System",,,Harold J. Ruttenberg Papers,1934-1998,AIS.1999.04,,,"Harold J. Ruttenberg Papers\, 1934-1998\, AIS.1999.04\, Archives & Special Collections\, University of Pittsburgh Library System"
"Public Administration Reports and Studies (Assorted), 1910-1992",AIS.1996.16,"Archives & Special Collections, University of Pittsburgh Library System","Public Administration Reports and Studies (Assorted), 1910-1992, AIS.1996.16, Archives & Special Collections, University of Pittsburgh Library System",,,Public Administration Reports and Studies (Assorted),1910-1992,AIS.1996.16,,,"Public Administration Reports and Studies (Assorted)\, 1910-1992\, AIS.1996.16\, Archives & Special Collections\, University of Pittsburgh Library System"
"Jennie Bradley Roessing Papers, 1887-1962",AIS.1964.24,"Archives & Special Collections, University of Pittsburgh Library System","Jennie Bradley Roessing Papers, 1887-1962, AIS.1964.24, Archives & Special Collections, University of Pittsburgh Library System",,,Jennie Bradley Roessing Papers,1887-1962,AIS.1964.24,,,"Jennie Bradley Roessing Papers\, 1887-1962\, AIS.1964.24\, Archives & Special Collections\, University of Pittsburgh Library System"
"Juniata Crossings House Records, 1886-1916",DAR.1937.12,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Juniata Crossings House Records, 1886-1916, DAR.1937.12, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Juniata Crossings House Records,1886-1916,DAR.1937.12,,,"Juniata Crossings House Records\, 1886-1916\, DAR.1937.12\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.15,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.15, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series XV. Under-Secretary-General of the United Nations",1992-1993,AIS.1998.30.15,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.12,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.12, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series XII. Director\, Institute of Politics\, John F. Kennedy School of Government\, Harvard University",1987-1988,AIS.1998.30.12,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh Library System"
"Marshall W. ""Major"" Taylor Scrapbooks, 1897-1904",AIS.1984.07,"Archives & Special Collections, University of Pittsburgh Library System","Marshall W. ""Major"" Taylor Scrapbooks, 1897-1904, AIS.1984.07, Archives & Special Collections, University of Pittsburgh Library System",,,"Marshall W. ""Major"" Taylor Scrapbooks",1897-1904,AIS.1984.07,,,"Marshall W. ""Major"" Taylor Scrapbooks\, 1897-1904\, AIS.1984.07\, Archives & Special Collections\, University of Pittsburgh Library System"
"Railroad Stock Certificate Collection, 1857-1970",AIS.2015.06,"Archives & Special Collections, University of Pittsburgh Library System","Railroad Stock Certificate Collection, 1857-1970, AIS.2015.06, Archives & Special Collections, University of Pittsburgh Library System",,,Railroad Stock Certificate Collection,1857-1970,AIS.2015.06,,,"Railroad Stock Certificate Collection\, AIS.2015.06\, 1857-1970\, Archives & Special Collections\, University of Pittsburgh Library System"
"Homer S. Brown Papers, 1918-1977",AIS.1978.08,"Archives & Special Collections, University of Pittsburgh Library System","Homer S. Brown Papers, 1918-1977, AIS.1978.08, Archives & Special Collections, University of Pittsburgh Library System",,,Homer S. Brown Papers,1918-1977,AIS.1978.08,,,"Homer S. Brown Papers\, 1918-1977\, AIS.1978.08\, Archives & Special Collections\, University of Pittsburgh Library System"
"Thomas C. Brogan Papers on the Mayor's Task Force on Civil Disorder, 1968",AIS.2017.06,"Archives & Special Collections, University of Pittsburgh Library System","Thomas C. Brogan Papers on the Mayor's Task Force on Civil Disorder, 1968, AIS.2017.06, Archives & Special Collections, University of Pittsburgh Library System",,,Thomas C. Brogan Papers on the Mayor's Task Force on Civil Disorder,1968,AIS.2017.06,,,"Thomas C. Brogan Papers on the Mayor's Task Force on Civil Disorder\, 1968\, AIS.2017.06\, Archives & Special Collections\, University of Pittsburgh Library System"
"Pittsburgh International Lesbian and Gay Film Festival Records, 1983-1994",CTC.1994.02,"Curtis Theatre Collection, Archives & Special Collections, University of Pittsburgh Library System","Pittsburgh International Lesbian and Gay Film Festival Records, 1983-1994, CTC.1994.02, Curtis Theatre Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Pittsburgh International Lesbian and Gay Film Festival Records,1980-1994 1987-1994,CTC.1994.02 816,,,"Pittsburgh International Lesbian and Gay Film Festival Records\, 1983-1994\, CTC.1994.02\, Curtis Theatre Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"National Organization for Women (NOW) Newsletters, 1968-2003",AIS.2015.10,"Archives & Special Collections, University of Pittsburgh Library System","National Organization for Women (NOW) Newsletters, 1968-2003, AIS.2015.10, Archives & Special Collections, University of Pittsburgh Library System",,,National Organization for Women (NOW) Newsletters,1968-2003,AIS.2015.10,,,"National Organization for Women (NOW) Newsletters\, 1968-2003\, AIS.2015.10\, Archives & Special Collections\, University of Pittsburgh Library System"
"Rudolf Carnap Papers, 1891-2007",ASP.1974.01,"Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System","Rudolf Carnap Papers, 1891-2007, ASP.1974.01, Archives of Scientific Philosophy, Archives & Special Collections, University of Pittsburgh Library System",,,Rudolf Carnap Papers,1904/2007 1920/1970,ASP.1974.01,,,"Rudolf Carnap Papers\, 1905-1970\, ASP.1974.01\, Archives of Scientific Philosophy\, Archives & Special Collections\, University of Pittsburgh Library System"
"Henry Sterling Papers, 1810-1868",DAR.1939.01,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Henry Sterling Papers, 1810-1868, DAR.1939.01, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Henry Sterling Papers,1810-1868,DAR.1939.01,,,"Henry Sterling Papers\, 1810-1868\, DAR.1939.01\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Dick Thornburgh Papers, 1932-2020",AIS.1998.30.06,"Archives & Special Collections, University of Pittsburgh Library System","Dick Thornburgh Papers, 1932-2020, AIS.1998.30.06, Archives & Special Collections, University of Pittsburgh Library System",,,"Dick Thornburgh Papers\, Series VI. Pennsylvania Constitutional Convention",1967-1968,AIS.1998.30.06,,,"Dick Thornburgh Papers\, 1932- \, AIS.1998.30\, Archives & Special Collections\, University of Pittsburgh"
"Francis Newton Thorpe's Typescript Manuscript of A History of the American People, 1899-1900",DAR.1937.28,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Francis Newton Thorpe's Typescript Manuscript of A History of the American People, 1899-1900, DAR.1937.28, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Francis Newton Thorpe's Typescript Manuscript of A History of the American People,1899-1900,DAR.1937.28,,,"Francis Newton Thorpe's Typescript Manuscript of A History of the American People\, 1899-1900\, DAR.1937.28\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Franklin Literary Society Minutes, 1906-1921",DAR.1937.05,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Franklin Literary Society Minutes, 1906-1921, DAR.1937.05, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Franklin Literary Society Minutes,1906-1921,,DAR.1937.05,"Franklin Literary Society Minutes\, 1906-1921\, DAR.1937.05\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System",
"Thomas Pownall’s Manuscript Revision of A Topographical Description of the Dominions of the United States of America, 1776",DAR.1937.32,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Thomas Pownall’s Manuscript Revision of A Topographical Description of the Dominions of the United States of America, 1776, DAR.1937.32, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Thomas Pownall’s Manuscript Revision of A Topographical Description of the Dominions of the United States of America,1776,DAR.1937.32,,,"Thomas Pownall’s Manuscript Revision of A Topographical Description of the Dominions of the United States of America\, 1776\, DAR.1937.32\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Whitcomb Meat Market Ledger, 1889-1892",DAR.1937.20,"Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System","Whitcomb Meat Market Ledger, 1889-1892, DAR.1937.20, Darlington Collection, Archives & Special Collections, University of Pittsburgh Library System",,,Whitcomb Meat Market Ledger,1889-1892,DAR.1937.20,,,"Whitcomb Meat Market Ledger\, 1889-1892\, DAR.1937.20\, Darlington Collection\, Archives & Special Collections\, University of Pittsburgh Library System"
"Bob Nelkin Collection of ACC-PARC Records, 1953-2000",MSS 1002,"Detre Library & Archives, Heinz History Center","Bob Nelkin Collection of ACC-PARC Records, 1953-2000, MSS 1002, Detre Library & Archives, Heinz History Center",,,Bob Nelkin Collection of ACC-PARC Records,1953-2000,MSS 1002,,,"Bob Nelkin Collection of ACC-PARC Records\, 1953-2000\, MSS 1002 \, Detre Library and Archives\, Senator John Heinz History Center"
"Patricia Clapp Papers, 1947-2015",MSS 1196,"Detre Library & Archives, Heinz History Center","Patricia Clapp Papers, 1947-2015, MSS 1196, Detre Library & Archives, Heinz History Center",,,Patricia Clapp Papers,1947-2015,MSS 1196,,,"Patricia Clapp Papers\, 1947-2015\, MSS 1196\, Thomas and Katherine Detre Library and Archives\, Senator John Heinz History Center"
"Harper Family Papers and Photographs, 1792-1993",MSS 8,"Detre Library & Archives, Heinz History Center","Harper Family Papers and Photographs, 1792-1993, MSS 8, Detre Library & Archives, Heinz History Center",,,Harper Family Papers and Photographs,1792-1993 1855-1866,MSS 8,,,"The Harper Family Papers and Photographs\, 1792-1993 (bulk 1855-1866)\, MSS 8\, Detre Library & Archives\, Heinz History Center"
